LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
11b73aeec435921e03cc664d464d74bb78747afc08e2330c8bbb262e7c504e55,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
171b6d9eb5e990b378ded367bfb80bea4794b4c4fb4f163d8ea6d690d8f418a5,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
171b6d9eb5e990b378ded367bfb80bea4794b4c4fb4f163d8ea6d690d8f418a5,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
1d6ff0897d361949c8c59723a30b7f5be6350ed84c73aaa999f5d899f7ac4cef,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
1d6ff0897d361949c8c59723a30b7f5be6350ed84c73aaa999f5d899f7ac4cef,2,Draught proofing,Draught proofing,10.0,,£150 - £250
1d6ff0897d361949c8c59723a30b7f5be6350ed84c73aaa999f5d899f7ac4cef,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
1ffb82c2d55269da5f8359c573fcb5222c8b734c8c088665ed55677c6fb6faf4,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
1ffb82c2d55269da5f8359c573fcb5222c8b734c8c088665ed55677c6fb6faf4,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
1ffb82c2d55269da5f8359c573fcb5222c8b734c8c088665ed55677c6fb6faf4,3,Draught proofing,Draught proofing,10.0,,£150 - £250
1ffb82c2d55269da5f8359c573fcb5222c8b734c8c088665ed55677c6fb6faf4,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
2749824d7d1227c8bce28caf7b32f3f7870dfc6cd069b8ccb2df681fdef34509,1,High heat retention storage heaters and dual immersion cylinder and dual rate meter,High heat retention storage heaters,61.0,,£400 - £800
2fbe7d1db3eebcd0a63cd52a5ec7670aa365d1d151cc6c9f1287f2ab2540c7b8,1,Cavity wall insulation,Cavity wall insulation,6.0,,"£900 - £1,500"
2fbe7d1db3eebcd0a63cd52a5ec7670aa365d1d151cc6c9f1287f2ab2540c7b8,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
2fbe7d1db3eebcd0a63cd52a5ec7670aa365d1d151cc6c9f1287f2ab2540c7b8,3,Heating controls (thermostatic radiator valves),Heating controls (TRVs),13.0,,£220 - £250
479317424a8d868e3ddeb4d62657a038ddc6cd2090093ed2c9561605a3367c16,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
479317424a8d868e3ddeb4d62657a038ddc6cd2090093ed2c9561605a3367c16,2,Draught proofing,Draught proofing,10.0,,£150 - £250
479317424a8d868e3ddeb4d62657a038ddc6cd2090093ed2c9561605a3367c16,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£180 - £210
479317424a8d868e3ddeb4d62657a038ddc6cd2090093ed2c9561605a3367c16,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
52c674a9fbaf06b3c3d2bd6807cef8344e32fdc6b2a49df3ab587c6e89551374,1,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2.0,,£20 - £40
59a818f95bbc54bd2a42fe099cbbebaec78281ed88af977cb7811d3ff309a28b,1,Cavity wall insulation,Cavity wall insulation,6.0,,"£900 - £1,500"
59a818f95bbc54bd2a42fe099cbbebaec78281ed88af977cb7811d3ff309a28b,2,Draught proofing,Draught proofing,10.0,,£150 - £250
59a818f95bbc54bd2a42fe099cbbebaec78281ed88af977cb7811d3ff309a28b,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£690 - £805
6a69fd7973aa78c93871f34a14b857eb11a8b3d91753fbe3173dd97612c67957,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
70ee6595cf34d43434d389d234bd530e572dcd7401242e5bc4f405b55259c955,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
70ee6595cf34d43434d389d234bd530e572dcd7401242e5bc4f405b55259c955,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
72ad8cc4525c063e107bd797b1fe5d9e89780b46ee5f446046669236fd76e439,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
72ad8cc4525c063e107bd797b1fe5d9e89780b46ee5f446046669236fd76e439,2,Draught proofing,Draught proofing,10.0,,£150 - £250
72ad8cc4525c063e107bd797b1fe5d9e89780b46ee5f446046669236fd76e439,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
a6a417c812ecb2fbba854db98dc8cc957474219afc9542dfa27c81be89abd0e4,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
a6a417c812ecb2fbba854db98dc8cc957474219afc9542dfa27c81be89abd0e4,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
cb994625744ececfcb84f51faf41bfcb15014e03fc9bf5061b7a2e434d51f847,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
cb994625744ececfcb84f51faf41bfcb15014e03fc9bf5061b7a2e434d51f847,2,Draught proofing,Draught proofing,10.0,,£150 - £250
e6d03f809b52c833ca759373b5b4372138bd2c6d39a98cc9404fa526b0b03f52,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
e6d03f809b52c833ca759373b5b4372138bd2c6d39a98cc9404fa526b0b03f52,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
0d4ac93c842bcf85fbe1b15ef502124382353dc6262a62968abdc5369e964ca3,1,Draught proofing,Draught proofing,10.0,,£150 - £250
